section,question,n_target_rules,n_retrieved_rules,len_context
1 Introduction,How many players are on each team in a game of ultimate?,1,1,5040
1 Introduction,What happens when a pass is incomplete in a game of ultimate?,1,0,3943
1 Introduction,Can a player run while holding the disc in ultimate?,1,0,6353
1 Introduction,"In ultimate, how is the disc advanced during play?",1,0,6891
1 Introduction,Who is responsible for officiating the game in ultimate?,1,1,2992
1 Introduction,What is the Event Organizer Clause in the rules of ultimate?,1,1,4815
1 Introduction,What is the Captain's Clause in the rules of ultimate?,1,1,4815
1 Introduction,"Can the rules of ultimate be modified for specific events? If so, how?",2,2,5391
1 Introduction,What is meant by 'Spirit of the Game' in ultimate?,1,0,2682
1 Introduction,How do specific rules relate to general rules in ultimate?,1,1,2126
2 Spirit of the Game,What is the core principle behind 'Spirit of the Game' in ultimate?,1,1,2682
2 Spirit of the Game,Who is responsible for knowing and adhering to the rules in ultimate?,1,0,2992
2 Spirit of the Game,What should happen if a player intentionally violates the rules in ultimate?,1,1,2257
2 Spirit of the Game,What are players required to do when acting as officials in disputes?,10,10,2843
2 Spirit of the Game,"Can a player be removed from the game for poor spirit, and if so, how?",1,1,1617
2 Spirit of the Game,What actions should players take to support good spirit in ultimate?,9,9,6236
2 Spirit of the Game,What actions are considered violations of the Spirit of the Game?,8,8,2257
2 Spirit of the Game,How should teams handle teaching and maintaining the Spirit of the Game?,5,5,6236
2 Spirit of the Game,What is expected of experienced players when a novice player commits an infraction?,1,1,3984
2 Spirit of the Game,What should players do if they cannot agree on what occurred during a play?,3,3,2704
3 Definitions,What is the definition of 'best perspective' in ultimate?,1,1,3365
3 Definitions,Can sideline players offer their perspective without being asked by a player?,1,1,4518
3 Definitions,What constitutes a completed pass in ultimate?,1,1,5446
3 Definitions,How is a foul defined in ultimate?,1,0,3718
3 Definitions,What does 'ground contact' include in ultimate?,1,1,4997
3 Definitions,When is a defender considered to be guarding an offensive player?,1,0,289
3 Definitions,What is the definition of incidental contact in ultimate?,1,0,7430
3 Definitions,What defines a 'legal position' for a marker in ultimate?,1,1,7121
3 Definitions,What does 'possession of the disc' entail in ultimate?,3,3,7899
3 Definitions,What is a 'pull' in ultimate?,1,0,2067
4 Playing Field,What is the recommended surface for an ultimate playing field?,1,1,6573
4 Playing Field,Are the perimeter lines considered part of the playing field in ultimate?,1,1,7089
4 Playing Field,What are the end zones in ultimate?,1,1,6756
4 Playing Field,Where are brick marks located on an ultimate field?,1,1,1313
4 Playing Field,What is the central zone in ultimate?,1,0,5040
4 Playing Field,Where are the goal lines located on an ultimate field?,1,1,4450
4 Playing Field,What is the purpose of the equipment line in ultimate?,1,1,4815
4 Playing Field,What should be done if play is obstructed by spectators or objects within five yards of the playing field?,1,0,1816
4 Playing Field,How are the corners of the central zone and the end zones marked?,1,1,1263
4 Playing Field,Where are reverse brick marks located on an ultimate field?,1,1,1313
5 Equipment,What should be done if team captains cannot agree on which disc to use?,1,0,1438
5 Equipment,Can players wear clothing with hard or sharp components during a game?,1,1,6742
5 Equipment,Are players allowed to wear metallic baseball cleats during a game?,1,1,6414
5 Equipment,What is recommended for player attire in tournament play?,1,1,4666
5 Equipment,Can a player use their clothing to help catch the disc?,1,0,6246
5 Equipment,Is it acceptable for a player to spike the disc violently after scoring?,1,0,5109
5 Equipment,Are players allowed to communicate using electronic devices during a point?,1,1,4414
5 Equipment,Can a player wear a jersey that is the same color as the opposing team?,1,0,344
5 Equipment,Is it against the rules to use a hearing aid during a game?,1,1,6367
5 Equipment,What should players avoid doing with field markers?,1,0,7756
6 Length of Game,What is the game total in a standard game of ultimate?,1,1,6912
6 Length of Game,When does halftime begin in a game of ultimate?,2,1,4781
6 Length of Game,How long is the standard halftime in a game of ultimate?,1,1,6110
6 Length of Game,What happens at the soft cap in an ultimate game?,1,0,860
6 Length of Game,What occurs if the hard cap is reached during halftime?,1,1,2552
6 Length of Game,What is the procedure if the score is tied when the hard cap is reached?,1,0,860
6 Length of Game,How is the new halftime target determined if the halftime cap is reached?,1,1,3536
6 Length of Game,What is the time allowed for the offense to line up after halftime ends?,1,0,1686
6 Length of Game,What is the time allowed for the defense to pull after halftime ends?,1,0,4004
6 Length of Game,How is the new game total determined if the soft cap occurs during halftime?,1,0,2653
7 Timeouts,How many team timeouts does each team have per half in a standard ultimate game?,1,1,3669
7 Timeouts,What is the duration of a team timeout in ultimate?,1,1,4466
7 Timeouts,Can a timeout be called between a re-pull call and the ensuing pull in ultimate?,1,1,5413
7 Timeouts,Who can call a timeout after the pull in ultimate?,1,1,5413
7 Timeouts,What should a player do to call a timeout after the pull in ultimate?,1,1,5413
7 Timeouts,What happens if a thrower calls a timeout when the team has no timeouts remaining in ultimate?,1,1,6490
7 Timeouts,What is the primary concern during an injury timeout in ultimate?,2,2,4819
7 Timeouts,Who can call an injury timeout in ultimate?,1,1,4819
7 Timeouts,What happens if an injured player does not leave the game after an injury timeout in ultimate?,1,1,4819
7 Timeouts,What is a spirit timeout in ultimate?,1,1,4452
8 Player Substitutions,When can a team make player substitutions in ultimate?,1,0,3038
8 Player Substitutions,Can a team substitute players after a re-pull call in ultimate?,1,0,4475
8 Player Substitutions,Is it allowed to substitute players after a goal in ultimate?,1,0,4484
8 Player Substitutions,What conditions allow player substitutions to replace injured players in ultimate?,1,0,4425
8 Player Substitutions,Can a team substitute players to replace those with illegal equipment in ultimate?,1,0,4666
8 Player Substitutions,What happens if a player is removed due to misconduct in ultimate?,1,0,4504
8 Player Substitutions,Can substitutions be made to resolve an incorrect personnel violation in ultimate?,1,0,2800
8 Player Substitutions,Are there any restrictions on the number of players an opposing team can substitute if the other team makes a substitution due to injury?,1,0,5192
8 Player Substitutions,What is the rule regarding player substitutions after a goal in ultimate?,1,0,4653
8 Player Substitutions,Under what circumstances can player substitutions occur after a re-pull call in ultimate?,1,0,4475
9 Starting and Restarting Play,How is it determined which team chooses to receive or throw the initial pull at the start of the game?,1,0,4910
9 Starting and Restarting Play,What happens if only one team fails to signal readiness for the start of a scheduled game?,1,0,4346
