section,question,n_target_rules,n_retrieved_rules,len_context
1 Introduction,How many players are on each team in a game of ultimate?,1,1,16865
1 Introduction,What happens when a pass is incomplete in a game of ultimate?,1,1,18662
1 Introduction,Can a player run while holding the disc in ultimate?,1,0,19935
1 Introduction,"In ultimate, how is the disc advanced during play?",1,0,24301
1 Introduction,Who is responsible for officiating the game in ultimate?,1,1,16079
1 Introduction,What is the Event Organizer Clause in the rules of ultimate?,1,1,25582
1 Introduction,What is the Captain's Clause in the rules of ultimate?,1,1,26694
1 Introduction,"Can the rules of ultimate be modified for specific events? If so, how?",2,2,20482
1 Introduction,What is meant by 'Spirit of the Game' in ultimate?,1,1,12747
1 Introduction,How do specific rules relate to general rules in ultimate?,1,1,16180
2 Spirit of the Game,What is the core principle behind 'Spirit of the Game' in ultimate?,1,1,12747
2 Spirit of the Game,Who is responsible for knowing and adhering to the rules in ultimate?,1,1,17104
2 Spirit of the Game,What should happen if a player intentionally violates the rules in ultimate?,1,1,15354
2 Spirit of the Game,What are players required to do when acting as officials in disputes?,10,10,10331
2 Spirit of the Game,"Can a player be removed from the game for poor spirit, and if so, how?",1,1,18448
2 Spirit of the Game,What actions should players take to support good spirit in ultimate?,9,9,13693
2 Spirit of the Game,What actions are considered violations of the Spirit of the Game?,8,8,16690
2 Spirit of the Game,How should teams handle teaching and maintaining the Spirit of the Game?,5,5,13431
2 Spirit of the Game,What is expected of experienced players when a novice player commits an infraction?,1,1,17753
2 Spirit of the Game,What should players do if they cannot agree on what occurred during a play?,3,3,10493
3 Definitions,What is the definition of 'best perspective' in ultimate?,1,1,17321
3 Definitions,Can sideline players offer their perspective without being asked by a player?,1,1,17954
3 Definitions,What constitutes a completed pass in ultimate?,1,1,14440
3 Definitions,How is a foul defined in ultimate?,1,0,16680
3 Definitions,What does 'ground contact' include in ultimate?,1,1,24904
3 Definitions,When is a defender considered to be guarding an offensive player?,1,0,1062
3 Definitions,What is the definition of incidental contact in ultimate?,1,1,21368
3 Definitions,What defines a 'legal position' for a marker in ultimate?,1,1,22588
3 Definitions,What does 'possession of the disc' entail in ultimate?,3,3,23820
3 Definitions,What is a 'pull' in ultimate?,1,0,16182
4 Playing Field,What is the recommended surface for an ultimate playing field?,1,1,19053
4 Playing Field,Are the perimeter lines considered part of the playing field in ultimate?,1,1,23561
4 Playing Field,What are the end zones in ultimate?,1,1,19426
4 Playing Field,Where are brick marks located on an ultimate field?,1,1,22481
4 Playing Field,What is the central zone in ultimate?,1,1,24714
4 Playing Field,Where are the goal lines located on an ultimate field?,1,1,22431
4 Playing Field,What is the purpose of the equipment line in ultimate?,1,1,21133
4 Playing Field,What should be done if play is obstructed by spectators or objects within five yards of the playing field?,1,0,18314
4 Playing Field,How are the corners of the central zone and the end zones marked?,1,1,12473
4 Playing Field,Where are reverse brick marks located on an ultimate field?,1,1,17314
5 Equipment,What should be done if team captains cannot agree on which disc to use?,1,1,15702
5 Equipment,Can players wear clothing with hard or sharp components during a game?,1,1,26831
5 Equipment,Are players allowed to wear metallic baseball cleats during a game?,1,1,27636
5 Equipment,What is recommended for player attire in tournament play?,1,1,17935
5 Equipment,Can a player use their clothing to help catch the disc?,1,1,24946
5 Equipment,Is it acceptable for a player to spike the disc violently after scoring?,1,0,17555
5 Equipment,Are players allowed to communicate using electronic devices during a point?,1,1,16187
5 Equipment,Can a player wear a jersey that is the same color as the opposing team?,1,1,6587
5 Equipment,Is it against the rules to use a hearing aid during a game?,1,1,19050
5 Equipment,What should players avoid doing with field markers?,1,0,17053
6 Length of Game,What is the game total in a standard game of ultimate?,1,1,19199
6 Length of Game,When does halftime begin in a game of ultimate?,2,1,16330
6 Length of Game,How long is the standard halftime in a game of ultimate?,1,1,13825
6 Length of Game,What happens at the soft cap in an ultimate game?,1,1,12110
6 Length of Game,What occurs if the hard cap is reached during halftime?,1,1,11552
6 Length of Game,What is the procedure if the score is tied when the hard cap is reached?,1,1,9532
6 Length of Game,How is the new halftime target determined if the halftime cap is reached?,1,1,8410
6 Length of Game,What is the time allowed for the offense to line up after halftime ends?,1,1,12917
6 Length of Game,What is the time allowed for the defense to pull after halftime ends?,1,1,16277
6 Length of Game,How is the new game total determined if the soft cap occurs during halftime?,1,0,11680
7 Timeouts,How many team timeouts does each team have per half in a standard ultimate game?,1,1,18649
7 Timeouts,What is the duration of a team timeout in ultimate?,1,1,14560
7 Timeouts,Can a timeout be called between a re-pull call and the ensuing pull in ultimate?,1,1,19245
7 Timeouts,Who can call a timeout after the pull in ultimate?,1,1,21779
7 Timeouts,What should a player do to call a timeout after the pull in ultimate?,1,1,24419
7 Timeouts,What happens if a thrower calls a timeout when the team has no timeouts remaining in ultimate?,1,1,14795
7 Timeouts,What is the primary concern during an injury timeout in ultimate?,2,2,13338
7 Timeouts,Who can call an injury timeout in ultimate?,1,1,14795
7 Timeouts,What happens if an injured player does not leave the game after an injury timeout in ultimate?,1,1,13338
7 Timeouts,What is a spirit timeout in ultimate?,1,1,13195
8 Player Substitutions,When can a team make player substitutions in ultimate?,1,0,16316
8 Player Substitutions,Can a team substitute players after a re-pull call in ultimate?,1,0,14045
8 Player Substitutions,Is it allowed to substitute players after a goal in ultimate?,1,0,17693
8 Player Substitutions,What conditions allow player substitutions to replace injured players in ultimate?,1,0,19509
8 Player Substitutions,Can a team substitute players to replace those with illegal equipment in ultimate?,1,0,17870
8 Player Substitutions,What happens if a player is removed due to misconduct in ultimate?,1,0,15198
8 Player Substitutions,Can substitutions be made to resolve an incorrect personnel violation in ultimate?,1,0,8063
8 Player Substitutions,Are there any restrictions on the number of players an opposing team can substitute if the other team makes a substitution due to injury?,1,0,12769
8 Player Substitutions,What is the rule regarding player substitutions after a goal in ultimate?,1,0,18317
8 Player Substitutions,Under what circumstances can player substitutions occur after a re-pull call in ultimate?,1,0,13200
9 Starting and Restarting Play,How is it determined which team chooses to receive or throw the initial pull at the start of the game?,1,0,11286
9 Starting and Restarting Play,What happens if only one team fails to signal readiness for the start of a scheduled game?,1,0,12288
9 Starting and Restarting Play,What must occur before the pull can be made at the start of each half or after each goal?,1,0,12418
9 Starting and Restarting Play,What is the maximum number of players a team can have on the field to signal readiness for the pull?,1,0,17166
9 Starting and Restarting Play,What must players on the pulling team do after signaling readiness but before the pull is made?,1,0,14660
9 Starting and Restarting Play,What can the receiving team do if the pulling team fails to maintain proper positioning before the pull?,1,0,13265
9 Starting and Restarting Play,What happens if a player on the throwing team touches the pull in the air before a member of the receiving team does?,1,0,13213
9 Starting and Restarting Play,Where is the disc put into play if the pull hits the ground untouched and remains in-bounds?,1,0,25439
9 Starting and Restarting Play,What must occur if there is a time violation by the receiving team after a team has already received a warning?,1,0,13691
9 Starting and Restarting Play,What should a player do to restart play with an offensive self-check?,1,0,9395
10 In- and Out-of-bounds,What is considered in-bounds on the playing field in ultimate?,1,1,23947
10 In- and Out-of-bounds,"If a player catches the disc in-bounds but their momentum carries them out-of-bounds, are they considered in-bounds or out-of-bounds?",1,1,19233
10 In- and Out-of-bounds,Can a thrower pivot with part of their body in the out-of-bounds area?,1,1,14624
10 In- and Out-of-bounds,What happens if an in-bounds defender catches the disc while airborne and then lands out-of-bounds?,1,1,19233
10 In- and Out-of-bounds,What defines a disc as being out-of-bounds?,1,1,19818
10 In- and Out-of-bounds,Can a disc fly outside the perimeter line and still be in play?,1,1,21207
10 In- and Out-of-bounds,How is a disc put back into play after it goes out-of-bounds?,1,1,19818
10 In- and Out-of-bounds,Does the status of a disc change if it is contacted by an observer?,1,1,14508
10 In- and Out-of-bounds,What happens if a player lands on an opponent and their first ground contact is out-of-bounds?,1,1,19449
10 In- and Out-of-bounds,Do events that happen after the disc goes out-of-bounds affect where it is put into play?,1,1,19818
11 End Zone Possession,What must a player do if they gain possession in the end zone they are defending due to a turnover?,1,0,17003
11 End Zone Possession,"If a player gains possession in their defending end zone, can they put the disc into play in between the spot of the disc and the goal line?",1,0,22785
11 End Zone Possession,What happens if a player delays unreasonably while carrying the disc to the goal line after gaining possession in their defending end zone?,1,0,15127
11 End Zone Possession,"When a team gains possession in the end zone they are attacking, where must the player put the disc into play?",1,0,19576
11 End Zone Possession,"If there is a dead disc in the attacking end zone, where is the disc checked into play?",1,0,23982
11 End Zone Possession,Can a player fake a throw after gaining possession in their defending end zone?,1,0,20424
11 End Zone Possession,"If a player gains possession in the attacking end zone without scoring, what must they do?",1,0,23194
11 End Zone Possession,What is the rule regarding the speed at which a player can carry the disc to the goal line in their defending end zone?,1,0,20934
11 End Zone Possession,What must a player do if they gain possession of a dead disc in the attacking end zone?,1,0,21011
11 End Zone Possession,"If a player gains possession in their defending end zone, can they choose to establish a pivot instead of carrying the disc to the goal line?",1,0,17852
12 Scoring,What constitutes a goal in ultimate according to rule 12.A?,1,1,16370
12 Scoring,What must a player's first point of ground contact be to be considered in the end zone according to rule 12.A.1?,1,1,17213
12 Scoring,"If a player receives a pass outside the end zone and comes to a stop contacting the end zone, what must they do according to rule 12.B?",1,1,19156
12 Scoring,What happens if a player scores but then unknowingly throws another pass according to rule 12.C?,1,1,17330
12 Scoring,Can a player call 'goal' before completing all ground contact related to the catch according to rule 12.D?,1,1,20358
12 Scoring,What should a player do to indicate a goal has been scored according to rule 12.D?,1,1,15614
12 Scoring,What happens after a contested or retracted goal call according to rule 12.D?,1,1,14972
12 Scoring,"In an observed game, does a player's 'goal' call stop play according to rule 12.D?",1,1,18592
12 Scoring,"If a player lands out of the end zone due to an uncontested force-out foul, what is the result according to rule 12.A.2?",1,1,21489
12 Scoring,What rule is the act of scoring a goal subject to according to rule 12.E?,1,1,17392
