section,question,n_target_rules,n_retrieved_rules,len_context
1 Introduction,How many players are on each team in a game of ultimate?,1,1,3715
1 Introduction,What happens when a pass is incomplete in a game of ultimate?,1,0,2439
1 Introduction,Can a player run while holding the disc in ultimate?,1,0,3341
1 Introduction,"In ultimate, how is the disc advanced during play?",1,0,3826
1 Introduction,Who is responsible for officiating the game in ultimate?,1,1,4257
1 Introduction,What is the Event Organizer Clause in the rules of ultimate?,1,1,3963
1 Introduction,What is the Captain's Clause in the rules of ultimate?,1,1,3963
1 Introduction,"Can the rules of ultimate be modified for specific events? If so, how?",2,2,2897
1 Introduction,What is meant by 'Spirit of the Game' in ultimate?,1,0,2464
1 Introduction,How do specific rules relate to general rules in ultimate?,1,1,2735
2 Spirit of the Game,What is the core principle behind 'Spirit of the Game' in ultimate?,1,1,2464
2 Spirit of the Game,Who is responsible for knowing and adhering to the rules in ultimate?,1,0,4257
2 Spirit of the Game,What should happen if a player intentionally violates the rules in ultimate?,1,1,3183
2 Spirit of the Game,What are players required to do when acting as officials in disputes?,10,10,3801
2 Spirit of the Game,"Can a player be removed from the game for poor spirit, and if so, how?",1,1,3051
2 Spirit of the Game,What actions should players take to support good spirit in ultimate?,9,9,2600
2 Spirit of the Game,What actions are considered violations of the Spirit of the Game?,8,8,3691
2 Spirit of the Game,How should teams handle teaching and maintaining the Spirit of the Game?,5,5,2981
2 Spirit of the Game,What is expected of experienced players when a novice player commits an infraction?,1,1,3881
2 Spirit of the Game,What should players do if they cannot agree on what occurred during a play?,3,3,4149
3 Definitions,What is the definition of 'best perspective' in ultimate?,1,1,3132
3 Definitions,Can sideline players offer their perspective without being asked by a player?,1,1,3829
3 Definitions,What constitutes a completed pass in ultimate?,1,1,1628
3 Definitions,How is a foul defined in ultimate?,1,0,1949
3 Definitions,What does 'ground contact' include in ultimate?,1,1,2888
3 Definitions,When is a defender considered to be guarding an offensive player?,1,0,562
3 Definitions,What is the definition of incidental contact in ultimate?,1,1,2899
3 Definitions,What defines a 'legal position' for a marker in ultimate?,1,1,3767
